fid,focalpop,indID,treatmentcode,comparison,time,ordernum,order,poptreatment,typetreatm,treatment,beh1
99,Peninsula,MT01,A01,MT01-with-A01,8.25,4,fourth,Pacific,alopatric,alop_antilocal,1.5043
100,Peninsula,MT02,A02,MT02-with-A02,8.75,5,fifth,Pacific,alopatric,alop_antilocal,0.43644
101,Peninsula,MT03,A03,MT03-with-A03,9.25,5,fifth,Pacific,alopatric,alop_antilocal,0.41665
102,Peninsula,MT04,A04,MT04-with-A04,11,2,second,Pacific,alopatric,alop_antilocal,-0.93524
103,Peninsula,MT06,A06,MT06-with-A06,11.5,4,fourth,Pacific,alopatric,alop_antilocal,0.45183
104,Peninsula,MT07,A07,MT07-with-A07,9.25,3,third,Pacific,alopatric,alop_antilocal,0.31442
105,Peninsula,MT08,A08,MT08-with-A08,9.75,4,fourth,Pacific,alopatric,alop_antilocal,-0.24779
106,Peninsula,MT09,A09,MT09-with-A09,10.5,4,fourth,Pacific,alopatric,alop_antilocal,0.90261
107,Peninsula,MT01,B01,MT01-with-B01,8.25,3,third,Gulf,alopatric,alop_Gulf,1.503
108,Peninsula,MT02,B02,MT02-with-B02,8.75,3,third,Gulf,alopatric,alop_Gulf,1.02922
109,Peninsula,MT03,B03,MT03-with-B03,9.25,6,sixth,Gulf,alopatric,alop_Gulf,2.25394
110,Peninsula,MT04,B04,MT04-with-B04,11,4,fourth,Gulf,alopatric,alop_Gulf,0.42994
111,Peninsula,MT05,B05,MT05-with-B05,11.5,2,second,Gulf,alopatric,alop_Gulf,-0.93524
112,Peninsula,MT06,B06,MT06-with-B06,11.5,1,first,Gulf,alopatric,alop_Gulf,-0.13368
113,Peninsula,MT07,B07,MT07-with-B07,9.25,2,second,Gulf,alopatric,alop_Gulf,-1.08057
114,Peninsula,MT09,B09,MT09-with-B09,10.5,3,third,Gulf,alopatric,alop_Gulf,-0.93524
115,Peninsula,MT01,C01,MT01-with-C01,8.25,1,first,Peninsula,local,local,0.43703
116,Peninsula,MT02,C02,MT02-with-C02,8.75,1,first,Peninsula,local,local,-1.56251
117,Peninsula,MT03,C03,MT03-with-C03,9.25,2,second,Peninsula,local,local,-0.85156
118,Peninsula,MT04,C04,MT04-with-C04,11,1,first,Peninsula,local,local,-0.56206
119,Peninsula,MT05,C05,MT05-with-C05,11.5,1,first,Peninsula,local,local,-0.0252
120,Peninsula,MT06,C06,MT06-with-C06,11.5,2,second,Peninsula,local,local,0.55367
121,Peninsula,MT08,C08,MT08-with-C08,9.75,2,second,Peninsula,local,local,-0.93524
122,Peninsula,MT09,C09,MT09-with-C09,10.5,2,second,Peninsula,local,local,0.10743
123,Peninsula,MT01,D01,MT01-with-D01,8.25,6,sixth,Chiapas,alopatric,alop_Chiapas,-0.93524
124,Peninsula,MT02,D02,MT02-with-D02,8.75,2,second,Chiapas,alopatric,alop_Chiapas,0.84398
125,Peninsula,MT03,D03,MT03-with-D03,9.25,4,fourth,Chiapas,alopatric,alop_Chiapas,0.61494
126,Peninsula,MT04,D04,MT04-with-D04,11,5,fifth,Chiapas,alopatric,alop_Chiapas,0.46666
127,Peninsula,MT05,D05,MT05-with-D05,11.5,4,fourth,Chiapas,alopatric,alop_Chiapas,0.90633
128,Peninsula,MT06,D06,MT06-with-D06,11.5,3,third,Chiapas,alopatric,alop_Chiapas,-0.93524
129,Peninsula,MT07,D07,MT07-with-D07,9.25,5,fifth,Chiapas,alopatric,alop_Chiapas,0.19718
130,Peninsula,MT08,D08,MT08-with-D08,9.75,1,first,Chiapas,alopatric,alop_Chiapas,-0.93524
131,Peninsula,MT01,E01,MT01-with-E01,8.25,2,second,Central_america,alopatric,alop_CentralAmerica,0.31517
132,Peninsula,MT02,E02,MT02-with-E02,8.75,6,sixth,Central_america,alopatric,alop_CentralAmerica,-0.65011
133,Peninsula,MT03,E03,MT03-with-E03,9.25,3,third,Central_america,alopatric,alop_CentralAmerica,0.92803
134,Peninsula,MT04,E04,MT04-with-E04,11,3,third,Central_america,alopatric,alop_CentralAmerica,-0.93524
135,Peninsula,MT06,E06,MT06-with-E06,11.5,6,sixth,Central_america,alopatric,alop_CentralAmerica,0.4559
136,Peninsula,MT07,E07,MT07-with-E07,9.25,1,first,Central_america,alopatric,alop_CentralAmerica,0.31981
137,Peninsula,MT08,E08,MT08-with-E08,9.75,3,third,Central_america,alopatric,alop_CentralAmerica,-0.93524
138,Peninsula,MT09,E09,MT09-with-E09,10.5,1,first,Central_america,alopatric,alop_CentralAmerica,-0.92991
147,Peninsula,MT01,G01,MT01-with-G01,8.25,5,fifth,BSSP,hetero,hetero,-0.93524
148,Peninsula,MT02,G02,MT02-with-G02,8.75,4,fourth,BSSP,hetero,hetero,1.32791
149,Peninsula,MT03,G03,MT03-with-G03,9.25,1,first,BSSP,hetero,hetero,-0.17417
150,Peninsula,MT05,G05,MT05-with-G05,11.5,3,third,BSSP,hetero,hetero,-0.93524
151,Peninsula,MT06,G06,MT06-with-G06,11.5,5,fifth,BSSP,hetero,hetero,-0.93524
152,Peninsula,MT07,G07,MT07-with-G07,9.25,4,fourth,BSSP,hetero,hetero,-0.93524
153,Peninsula,MT08,G08,MT08-with-G08,9.75,5,fifth,BSSP,hetero,hetero,-0.93524
154,Peninsula,MT09,G09,MT09-with-G09,10.5,5,fifth,BSSP,hetero,hetero,1.45749
15,Pacific,CT01,B01,CT01-with-B01,8.25,3,third,Gulf,alopatric,alop_Gulf,2.87392
16,Pacific,CT03,B03,CT03-with-B03,8.25,2,second,Gulf,alopatric,alop_Gulf,-0.03873
17,Pacific,CT04,B04,CT04-with-B04,9.5,4,fourth,Gulf,alopatric,alop_Gulf,-0.93524
18,Pacific,CT05,B05,CT05-with-B05,9,3,third,Gulf,alopatric,alop_Gulf,0.96135
19,Pacific,CT06,B06,CT06-with-B06,10,1,first,Gulf,alopatric,alop_Gulf,1.78779
20,Pacific,CT07,B07,CT07-with-B07,9.75,6,sixth,Gulf,alopatric,alop_Gulf,1.81129
21,Pacific,CT08,B08,CT08-with-B08,10.75,6,sixth,Gulf,alopatric,alop_Gulf,0.72691
22,Pacific,CT09,B09,CT09-with-B09,10,4,fourth,Gulf,alopatric,alop_Gulf,-0.93524
23,Pacific,CT10,B10,CT10-with-B10,9.75,3,third,Gulf,alopatric,alop_Gulf,-0.66534
24,Pacific,CT11,B11,CT11-with-B11,11.5,6,sixth,Gulf,alopatric,alop_Gulf,-0.05083
25,Pacific,CT12,B12,CT12-with-B12,9,2,second,Gulf,alopatric,alop_Gulf,1.0998
26,Pacific,CT14,B14,CT14-with-B14,7.75,3,third,Gulf,alopatric,alop_Gulf,-0.61393
27,Pacific,CT15,B13,CT15-with-B13,11.75,3,third,Gulf,alopatric,alop_Gulf,1.90677
28,Pacific,CT16,B02,CT16-with-B02,10.5,6,sixth,Gulf,alopatric,alop_Gulf,1.24379
29,Pacific,CT01,C01,CT01-with-C01,8.25,4,fourth,Peninsula,alopatric,alop_antilocal,-0.93524
30,Pacific,CT03,C03,CT03-with-C03,8.25,3,third,Peninsula,alopatric,alop_antilocal,-0.93524
31,Pacific,CT04,C04,CT04-with-C04,9.5,5,fifth,Peninsula,alopatric,alop_antilocal,-0.93524
32,Pacific,CT05,C05,CT05-with-C05,9,4,fourth,Peninsula,alopatric,alop_antilocal,0.59727
33,Pacific,CT06,C06,CT06-with-C06,10,4,fourth,Peninsula,alopatric,alop_antilocal,-0.93524
34,Pacific,CT07,C07,CT07-with-C07,9.75,2,second,Peninsula,alopatric,alop_antilocal,1.42273
35,Pacific,CT08,C08,CT08-with-C08,10.75,1,first,Peninsula,alopatric,alop_antilocal,1.34742
36,Pacific,CT09,C09,CT09-with-C09,10,5,fifth,Peninsula,alopatric,alop_antilocal,-0.93524
37,Pacific,CT10,C10,CT10-with-C10,9.75,6,sixth,Peninsula,alopatric,alop_antilocal,-0.93524
38,Pacific,CT11,C11,CT11-with-C11,11.5,4,fourth,Peninsula,alopatric,alop_antilocal,-0.93524
39,Pacific,CT12,C12,CT12-with-C12,9,3,third,Peninsula,alopatric,alop_antilocal,-0.07313
40,Pacific,CT14,C14,CT14-with-C14,7.75,1,first,Peninsula,alopatric,alop_antilocal,-0.93524
41,Pacific,CT15,C13,CT15-with-C13,11.75,6,sixth,Peninsula,alopatric,alop_antilocal,-0.93524
42,Pacific,CT16,C02,CT16-with-C02,10.5,4,fourth,Peninsula,alopatric,alop_antilocal,1.28668
85,Pacific,CT01,G01,CT01-with-G01,8.25,2,second,BSSP,hetero,hetero,-0.93524
86,Pacific,CT03,G03,CT03-with-G03,8.25,5,fifth,BSSP,hetero,hetero,-0.93524
87,Pacific,CT04,G04,CT04-with-G04,9.5,6,sixth,BSSP,hetero,hetero,-0.93524
88,Pacific,CT05,G05,CT05-with-G05,9,2,second,BSSP,hetero,hetero,-0.93524
89,Pacific,CT06,G06,CT06-with-G06,10,2,second,BSSP,hetero,hetero,-0.93524
90,Pacific,CT07,G07,CT07-with-G07,9.75,5,fifth,BSSP,hetero,hetero,-0.93524
91,Pacific,CT08,G08,CT08-with-G08,10.75,2,second,BSSP,hetero,hetero,-0.93524
92,Pacific,CT09,G09,CT09-with-G09,10,6,sixth,BSSP,hetero,hetero,-0.93524
93,Pacific,CT10,G10,CT10-with-G10,9.75,4,fourth,BSSP,hetero,hetero,-0.93524
94,Pacific,CT11,G11,CT11-with-G11,11.5,3,third,BSSP,hetero,hetero,-0.93524
95,Pacific,CT12,G12,CT12-with-G12,9,5,fifth,BSSP,hetero,hetero,-0.93524
96,Pacific,CT14,G14,CT14-with-G14,7.75,4,fourth,BSSP,hetero,hetero,-0.93524
97,Pacific,CT15,G13,CT15-with-G13,11.75,1,first,BSSP,hetero,hetero,-0.93524
98,Pacific,CT16,G02,CT16-with-G02,10.5,1,first,BSSP,hetero,hetero,-0.93524
1,Pacific,CT01,A01,CT01-with-A01,8.25,1,first,Pacific,local,local,0.50586
2,Pacific,CT03,A03,CT03-with-A03,8.25,1,first,Pacific,local,local,1.20815
3,Pacific,CT04,A04,CT04-with-A04,9.5,1,first,Pacific,local,local,-0.93524
4,Pacific,CT05,A05,CT05-with-A05,9,1,first,Pacific,local,local,1.14304
5,Pacific,CT06,A06,CT06-with-A06,10,6,sixth,Pacific,local,local,-0.93524
6,Pacific,CT07,A07,CT07-with-A07,9.75,1,first,Pacific,local,local,2.13471
7,Pacific,CT08,A08,CT08-with-A08,10.75,3,third,Pacific,local,local,0.48629
8,Pacific,CT09,A09,CT09-with-A09,10,1,first,Pacific,local,local,1.4346
9,Pacific,CT10,A10,CT10-with-A10,9.75,2,second,Pacific,local,local,-0.93524
10,Pacific,CT11,A11,CT11-with-A11,11.5,1,first,Pacific,local,local,0.62949
11,Pacific,CT12,A12,CT12-with-A12,9,4,fourth,Pacific,local,local,-0.65456
12,Pacific,CT14,A14,CT14-with-A14,7.75,5,fifth,Pacific,local,local,-0.93524
13,Pacific,CT15,A05,CT15-with-A05,11.75,2,second,Pacific,local,local,1.35797
14,Pacific,CT16,A02,CT16-with-A02,10.5,5,fifth,Pacific,local,local,1.49775
43,Pacific,CT01,D01,CT01-with-D01,8.25,6,sixth,Chiapas,alopatric,alop_Chiapas,-0.93524
44,Pacific,CT03,D03,CT03-with-D03,8.25,4,fourth,Chiapas,alopatric,alop_Chiapas,0.38105
45,Pacific,CT04,D04,CT04-with-D04,9.5,3,third,Chiapas,alopatric,alop_Chiapas,0.02931
46,Pacific,CT05,D05,CT05-with-D05,9,6,sixth,Chiapas,alopatric,alop_Chiapas,0.16941
47,Pacific,CT06,D06,CT06-with-D06,10,5,fifth,Chiapas,alopatric,alop_Chiapas,1.34661
48,Pacific,CT07,D07,CT07-with-D07,9.75,3,third,Chiapas,alopatric,alop_Chiapas,-0.20209
49,Pacific,CT08,D08,CT08-with-D08,10.75,4,fourth,Chiapas,alopatric,alop_Chiapas,-0.93524
50,Pacific,CT09,D09,CT09-with-D09,10,2,second,Chiapas,alopatric,alop_Chiapas,1.24843
51,Pacific,CT10,D10,CT10-with-D10,9.75,1,first,Chiapas,alopatric,alop_Chiapas,0.81926
52,Pacific,CT11,D11,CT11-with-D11,11.5,5,fifth,Chiapas,alopatric,alop_Chiapas,-0.93524
53,Pacific,CT12,D12,CT12-with-D12,9,6,sixth,Chiapas,alopatric,alop_Chiapas,-0.93524
